year,time,time2,gdp_world,gdp_world_five,gdp_world_ten,gdp_hi,gdp_hi_five,gdp_hi_ten,gdp_oecd,gdp_oecd_five,gdp_oecd_ten,gdp_us,gdp_us_three,gdp_us_five,gdp_us_ten,gdp_eu,gdp_eu_five,gdp_eu_ten,em_world,em_world_five,em_world_ten,em_hi,em_hi_five,em_hi_ten,em_oecd,em_oecd_five,em_oecd_ten,em_us,em_us_three,em_us_five,em_us_ten,em_eu,em_eu_five,em_eu_ten,app_count,app_tot,app_old_three,app_new_three,app_old_five,app_new_five,app_old_ten,app_new_ten,app_count_us,app_tot_us,app_five_new_us,app_old_five_us,app_count_eu,app__tot_eu,app_old_five_eu,app_new_five_eu,,new_app_count_us,new_app_tot_us,new_app_five_new_us,new_app_five_old_us,oil_price,oil_price_five,dum_1,dum_2,dum_3,dum_4,em_c_us,em_c_us_four,em_c_us_five,em_c_world,em_c_world_four,em_c_world_five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1,1,1.37275E+12,,,1.06196E+12,,,1.07147E+12,,,5.433E+11,,,,3.64448E+11,,,9396705.835,,,5713366.066,,,5747622.95,,,2890696.1,,,,2359594.886,,,9,9,,,,,,,376,2547,,,,,,,,176,1133,,,1.9,,,,,,2890696.1,,,9396705.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,2,4,1.42807E+12,,,1.12413E+12,,,1.12641E+12,,,5.633E+11,,,,3.96167E+11,,,9434402.595,,,5838410.405,,,5866219.349,,,2880505.507,,,,2445945.664,,,10,19,,,,,,,460,3007,,,,,,,,272,1405,,,1.8,,,,,,2880505.507,,,9434402.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,3,9,1.5325E+12,,,1.21347E+12,,,1.21586E+12,,,6.051E+11,1.7117E+12,,,4.31995E+11,,,9818839.874,,,6109990.312,,,6126975.942,,,2987207.873,8758409.48,,,2587255.911,,,3,22,0,22,,,,,487,3494,,,,,,,,305,1710,,,1.8,,,,,,2987207.873,,,9818839.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,4,16,1.65092E+12,,,1.30721E+12,,,1.31111E+12,,,6.386E+11,1.807E+12,,,4.76971E+11,,,10355747.35,,,6452882.159,,,6466627.68,,,3119230.874,8986944.254,,,2763661.258,,,3,25,9,16,,,,,492,3986,,,,,,,,342,2052,,,1.8,,,,,,3119230.874,11877640.35,,10355747.35,39005695.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,5,25,1.80855E+12,7.79279E+12,,1.42684E+12,6.13362E+12,,1.43222E+12,6.15707E+12,,6.858E+11,1.9295E+12,3.0361E+12,,5.27905E+11,2.19749E+12,,10947007.09,49952702.74,,6782010.521,30896659.46,,6791496.296,30998942.22,,3255995.306,9362434.053,15133635.66,,2879590.411,13036048.13,,37,62,19,43,0,62,,,485,4471,2300,0,,,,,,358,2410,1453,0,1.8,9.1,,,,,3255995.306,12242939.56,15133635.66,10947007.09,40555996.91,49952702.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,6,36,1.96945E+12,8.3895E+12,,1.54949E+12,6.62115E+12,,1.55528E+12,6.64089E+12,,7.437E+11,2.0681E+12,3.2365E+12,,5.7528E+11,2.40832E+12,,11433441.98,51989438.88,,7081545.937,32264839.33,,7080935.338,32332254.6,,3390922.571,9766148.751,15633862.13,,2977005.808,13653459.05,,16,78,22,56,19,69,,,585,5056,2509,2547,,,,,,553,2963,1830,1133,1.8,9,,,,,3390922.571,12753356.62,15633862.13,11433441.98,42555036.29,51989438.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,7,49,2.13674E+12,9.09817E+12,,1.6998E+12,7.19681E+12,,1.708E+12,7.22248E+12,,8.15E+11,2.2445E+12,3.4882E+12,,6.23873E+11,2.63602E+12,,12009447,54564483.29,,7391949.92,33818378.85,,7400607.561,33866642.82,,3561878.111,10208795.99,16315234.74,,3066068.197,14273581.59,,31,109,25,84,22,90,,,526,5582,2575,3007,,,,,,663,3626,2221,1405,1.8,9,,,,,3561878.111,13328026.86,16315234.74,12009447,44745643.42,54564483.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,8,64,2.27461E+12,9.84028E+12,,1.82374E+12,7.80708E+12,,1.83352E+12,7.84014E+12,,8.617E+11,2.4204E+12,3.7448E+12,,6.71099E+11,2.87513E+12,,12389685.57,57135328.98,,7720671.805,35429060.34,,7720828.066,35460494.94,,3695708.943,10648509.63,17023735.81,,3135494.784,14821820.46,,38,147,62,85,25,125,,,500,6082,2588,3494,,,,,,611,4237,2527,1710,1.8,9,,,,,3695708.943,13904504.93,17023735.81,12389685.57,46779581.64,57135328.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,9,81,2.45553E+12,1.06449E+13,,1.97771E+12,8.47758E+12,,1.9893E+12,8.51832E+12,,9.425E+11,2.6192E+12,4.0487E+12,,6.99807E+11,3.09796E+12,,13017193.61,59796775.24,,8131701.254,37107879.44,,8130410.148,37124277.41,,3831354.94,11088941.99,17735859.87,,3317198.681,15375357.88,,8,155,78,77,62,130,,,486,6568,2582,3986,,,,,,531,4768,2716,2052,1.8,9,,,,,3831354.94,14479864.57,17735859.87,13017193.61,48849768.15,59796775.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,10,100,2.70905E+12,1.15454E+13,1.93382E+13,2.17588E+12,9.22662E+12,1.53602E+13,2.18838E+12,9.27448E+12,1.54316E+13,1.0199E+12,2.8241E+12,4.3828E+12,6.6039E+12,7.74886E+11,3.34495E+12,5.54243E+12,13797116.84,62646884.99,112599587.7,8656315.636,38982184.55,69878844.02,8625282.62,38958063.73,69957005.95,4024748.853,11551812.74,18504613.42,33638249.08,3520600.659,16016368.13,29052416.26,11,166,109,57,78,104,0,166,454,7022,2551,4471,,,,,,598,5366,2956,2410,1.8,9,,,,,4024748.853,15113690.85,18504613.42,13797116.84,51213443.01,62646884.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
