year;time;time2;gdp_world_five;gdp_us_five;em_world_five;em_us_five;app_count;app_old_five;app_new_five;app_five_new_us;app_old_five_us;oil_price_five;em_c_us_five;em_c_world_five
1960;1;1;;;;;9;;;;;;;
1961;2;4;;;;;10;;;;;;;
1962;3;9;;;;;3;;;;;;;
1963;4;16;;;;;3;;;;;;;
1964;5;25;7.79E+12;3.04E+12;49952702.74;15133635.66;37;0;62;2300;0;9.1;15133635.66;49952702.74
1965;6;36;8.39E+12;3.24E+12;51989438.88;15633862.13;16;19;69;2509;2547;9;15633862.13;51989438.88
1966;7;49;9.10E+12;3.49E+12;54564483.29;16315234.74;31;22;90;2575;3007;9;16315234.74;54564483.29
1967;8;64;9.84E+12;3.74E+12;57135328.98;17023735.81;38;25;125;2588;3494;9;17023735.81;57135328.98
1968;9;81;1.06E+13;4.05E+12;59796775.24;17735859.87;8;62;130;2582;3986;9;17735859.87;59796775.24
1969;10;100;1.15E+13;4.38E+12;62646884.99;18504613.42;11;78;104;2551;4471;9;18504613.42;62646884.99
1970;11;121;1.25E+13;4.71E+12;66002241.33;19442595.35;13;109;101;2425;5056;9;19442595.35;66002241.33
1971;12;144;1.37E+13;5.06E+12;69315969.88;20237487.27;53;147;123;2344;5582;9.44;20237487.27;69315969.88
1972;13;169;1.52E+13;5.48E+12;72883476.84;21106731.29;39;155;124;2323;6082;10.12;21106731.29;72883476.84
1973;14;196;1.74E+13;5.96E+12;76688392.71;22045571.29;19;166;135;2410;6568;11.61;22045571.29;76688392.71
1974;15;225;2.00E+13;6.49E+12;79742097.96;22619310.11;40;179;164;2740;7022;21.39;22619310.11;79742097.96
1975;16;256;2.29E+13;7.10E+12;81699091.52;22696735.15;71;232;222;3359;7481;31.12;22696735.15;81699091.52
1976;17;289;2.61E+13;7.81E+12;84102014.28;22953065.79;116;271;285;4063;7926;41.68;22953065.79;84102014.28
1977;18;324;2.96E+13;8.61E+12;86424626.07;23130405.57;163;290;409;4914;8405;53.12;23130405.57;86424626.07
1978;19;361;3.36E+13;9.54E+12;88100423.07;23251071.88;333;330;723;5778;8978;63.85;23251071.88;88100423.07
1979;20;400;3.82E+13;1.06E+13;90783148.93;23554380.45;602;401;1285;6418;9762;83.88;23554380.45;90783148.93
1980;21;441;4.36E+13;1.18E+13;93361684.32;23871260.58;943;517;2157;6667;10840;109.18;23871260.58;93361684.32
1981;22;484;4.88E+13;1.31E+13;94361832.9;23793960.22;1262;680;3303;6654;11989;132.31;23793960.22;94361832.9
1982;23;529;5.30E+13;1.44E+13;94644382.59;23358415.97;1134;1013;4274;6388;13319;151.36;23358415.97;94644382.59
1983;24;576;5.62E+13;1.57E+13;94630833.02;22809433.06;1270;1615;5211;5871;14756;166.89;22809433.06;94630833.02
1984;25;625;5.84E+13;1.71E+13;94243150.45;22382828.95;1303;2558;5912;5493;16180;164.06;22382828.95;94243150.45
1985;26;676;5.99E+13;1.86E+13;94638064.35;22152174.65;1480;3820;6449;5216;17507;154.79;22152174.65;94638064.35
1986;27;729;6.34E+13;1.99E+13;96227173.46;22111837.65;1246;4954;6433;4935;18643;133.29;22111837.65;96227173.46
1987;28;784;6.91E+13;2.14E+13;98481971.43;22493462.34;1141;6224;6440;4788;19707;118.7550394;22493462.34;98481971.43
1988;29;841;7.66E+13;2.30E+13;101563017.8;23044110.06;1339;7527;6509;4798;20627;104.1288811;23044110.06;101563017.8
1989;30;900;8.46E+13;2.47E+13;104446537.6;23523999.35;1404;9007;6610;4814;21673;93.57499435;23523999.35;104446537.6
1990;31;961;9.44E+13;2.63E+13;106876698.8;23854847.09;1744;10253;6874;4900;22723;89.74081466;23854847.09;106876698.8
1991;32;1024;1.03E+14;2.79E+13;108965271.7;24180231;1629;11394;7257;5275;23578;95.31172906;24180231;108965271.7
1992;33;1089;1.11E+14;2.95E+13;110331537.2;24401391.44;1669;12733;7785;5824;24495;96.19752627;24401391.44;110331537.2
1993;34;1156;1.18E+14;3.11E+13;110928308.5;24537539.82;1952;14137;8398;6436;25425;98.24531881;24537539.82;110928308.5
1994;35;1225;1.26E+14;3.28E+13;111450614;24676812.48;1718;15881;8712;6931;26487;95.83683199;24676812.48;111450614
1995;36;1296;1.34E+14;3.45E+13;112338735.7;24986329.28;2059;17510;9027;7579;27623;89.12769136;24986329.28;112338735.7
